"questionType"	"content"	"answer"	"choice_a"	"choice_b"	"choice_c"	"choice_d"	"choice_e"	"choice_f"	"note"	"boolt"	"boolf"	"add_time"	"choice_num"	"course_id"	"user_ans"
"pd"	"“水光潋滟晴方好，山色空蒙雨亦奇。”写的是洞庭湖。"	"错"	"A."	"B."	"C."	"D."	"E."	"F."	"问答题在此处做答"	"对"	"错"	"26/3/2021"	"2"	"2"	
"pd"	"“湖光秋月两相和，潭面无风镜未磨。”是描写西湖的美景。"	"错"	"A."	"B."	"C."	"D."	"E."	"F."	"问答题在此处做答"	"对"	"错"	"26/3/2021"	"2"	"2"	
"pd"	"《示儿》《闻官军收河南河北》都是表达诗人的爱国之情。"	"对"	"A."	"B."	"C."	"D."	"E."	"F."	"问答题在此处做答"	"对"	"错"	"26/3/2021"	"2"	"2"	
"pd"	"王昌龄是以写边塞诗而闻名。"	"对"	"A."	"B."	"C."	"D."	"E."	"F."	"问答题在此处做答"	"对"	"错"	"26/3/2021"	"2"	"2"	
"pd"	"“停车坐爱枫林晚，霜叶红于二月花”中“坐”的意思是坐下。"	"错"	"A."	"B."	"C."	"D."	"E."	"F."	"问答题在此处做答"	"对"	"错"	"26/3/2021"	"2"	"2"	
"pd"	"龚自珍《己亥杂诗》“落红不是无情物，化作春泥更护花”句中，“红”是指红色。"	"错"	"A."	"B."	"C."	"D."	"E."	"F."	"问答题在此处做答"	"对"	"错"	"26/3/2021"	"2"	"2"	
"pd"	"“正是江南好风景，落花时节又逢君”中的“君”是指李龟年。"	"对"	"A."	"B."	"C."	"D."	"E."	"F."	"问答题在此处做答"	"对"	"错"	"26/3/2021"	"2"	"2"	
"pd"	"解落山秋叶，能开二月花”中的“三秋”是指三个秋天。"	"错"	"A."	"B."	"C."	"D."	"E."	"F."	"问答题在此处做答"	"对"	"错"	"26/3/2021"	"2"	"2"	
"pd"	"苏轼是“唐宋八大家”之一。"	"对"	"A."	"B."	"C."	"D."	"E."	"F."	"问答题在此处做答"	"对"	"错"	"26/3/2021"	"2"	"2"	
"pd"	"杜甫因他的诗享有“诗史”之称，故被称为“诗仙”。"	"错"	"A."	"B."	"C."	"D."	"E."	"F."	"问答题在此处做答"	"对"	"错"	"26/3/2021"	"2"	"2"	
"pd"	"“吟”是古代诗歌的一种名称，和“歌”、“曲”相似。"	"错"	"A."	"B."	"C."	"D."	"E."	"F."	"问答题在此处做答"	"对"	"错"	"26/3/2021"	"2"	"2"	
"pd"	"四海无限天，农夫犹饿死。”中的“四海”指的是全天下。"	"错"	"A."	"B."	"C."	"D."	"E."	"F."	"问答题在此处做答"	"对"	"错"	"26/3/2021"	"2"	"2"	
"pd"	"卢纶是唐代著名的诗人，是“大历十大才子”之一。"	"对"	"A."	"B."	"C."	"D."	"E."	"F."	"问答题在此处做答"	"对"	"错"	"26/3/2021"	"2"	"2"	
"pd"	"“风吹草低见牛羊”中的“见”读xian。"	"对"	"A."	"B."	"C."	"D."	"E."	"F."	"问答题在此处做答"	"对"	"错"	"26/3/2021"	"2"	"2"	
